L -147.6592, 1007.1619, -330.3679,  -170.6223, 1005.8132, -331.3101,  127, 127, 127
L -170.6223, 1005.8132, -331.3101,  -229.3039, 995.9917, -331.9696,  127, 127, 127
L -229.3039, 995.9917, -331.9696,  -302.1782, 974.3340, -330.5281,  127, 127, 127
L -302.1782, 974.3340, -330.5281,  -386.4075, 946.6371, -325.2087,  127, 127, 127
L -386.4075, 946.6371, -325.2087,  -462.9578, 935.4185, -335.8305,  127, 127, 127
L -462.9578, 935.4185, -335.8305,  -517.3398, 910.5778, -336.6482,  127, 127, 127
L -517.3398, 910.5778, -336.6482,  -588.9272, 889.7920, -333.6364,  127, 127, 127
L -588.9272, 889.7920, -333.6364,  -671.3364, 868.1739, -338.4113,  127, 127, 127
L -671.3364, 868.1739, -338.4113,  -743.3787, 886.4410, -338.5667,  127, 127, 127
L -743.3787, 886.4410, -338.5667,  -773.9780, 896.2455, -337.4536,  127, 127, 127
L -773.9780, 896.2455, -337.4536,  -846.9803, 837.5361, -328.4986,  127, 127, 127
L -846.9803, 837.5361, -328.4986,  -908.2574, 798.4324, -335.1060,  127, 127, 127
L -908.2574, 798.4324, -335.1060,  -944.7989, 761.7208, -332.5717,  127, 127, 127
L -944.7989, 761.7208, -332.5717,  -990.0237, 710.2653, -326.3958,  127, 127, 127
L -990.0237, 710.2653, -326.3958,  -998.2342, 618.0959, -334.3692,  127, 127, 127
L -998.2485, 618.0972, -334.3692,  -943.3270, 613.1487, -351.1945,  127, 127, 127
L -943.3270, 613.1487, -351.1945,  -938.7692, 593.3514, -358.3127,  127, 127, 127
L -938.7692, 593.3514, -358.3127,  -939.7403, 557.1548, -367.2175,  127, 127, 127
L -939.7403, 557.1548, -367.2175,  -967.8832, 522.3234, -353.8092,  127, 127, 127
L -967.8832, 522.3234, -353.8092,  -980.0884, 527.8848, -348.2627,  127, 127, 127
L -980.0884, 527.8848, -348.2627,  -1008.9579, 506.0758, -344.5255,  127, 127, 127
L -1008.9579, 506.0758, -344.5255,  -1044.0436, 492.3141, -339.7652,  127, 127, 127
L -1044.0436, 492.3141, -339.7652,  -1068.3074, 500.7184, -328.4659,  127, 127, 127
L -1068.3074, 500.7184, -328.4659,  -1104.4303, 426.7766, -332.0956,  127, 127, 127
L -1104.4303, 426.7766, -332.0956,  -1130.6930, 382.7022, -335.1068,  127, 127, 127
L -1130.6930, 382.7022, -335.1068,  -1139.7649, 321.3986, -328.3588,  127, 127, 127
L -1139.7649, 321.3986, -328.3588,  -1176.0542, 253.3173, -341.2187,  127, 127, 127
L -1176.0542, 253.3173, -341.2187,  -1170.6851, 183.4167, -362.8027,  127, 127, 127
L -1174.1797, 147.5741, -364.2597,  -1184.2776, 130.2728, -364.2446,  127, 127, 127
L -1184.2776, 130.2728, -364.2446,  -1199.6205, 132.4331, -353.6879,  127, 127, 127
L -1199.6205, 132.4331, -353.6879,  -1241.6266, 144.2773, -321.6495,  127, 127, 127
L -1241.6266, 144.2773, -321.6495,  -1295.4832, 75.1852, -314.1137,  127, 127, 127
L -1295.4832, 75.1852, -314.1137,  -1360.7029, 10.3148, -262.1385,  127, 127, 127
L -1360.7029, 10.3148, -262.1385,  -1294.4469, -79.6216, -314.1577,  127, 127, 127
L -1294.4469, -79.6216, -314.1577,  -1276.4546, -122.9986, -336.6639,  127, 127, 127
L -1276.4546, -122.9986, -336.6639,  -1261.8069, -184.9987, -338.5179,  127, 127, 127
L -1261.8069, -184.9987, -338.5179,  -1188.2831, -232.1634, -329.6295,  127, 127, 127
L -1188.2831, -232.1634, -329.6295,  -1152.9275, -283.9285, -330.2807,  127, 127, 127
L -1152.9275, -283.9285, -330.2807,  -1118.9291, -343.8828, -332.9513,  127, 127, 127
L -1118.9291, -343.8828, -332.9513,  -1118.8744, -412.6009, -340.7030,  127, 127, 127
L -1118.8744, -412.6009, -340.7030,  -1071.2151, -460.2195, -333.7672,  127, 127, 127
L -1071.2151, -460.2195, -333.7672,  -1029.9209, -517.3359, -336.8025,  127, 127, 127
L -1029.9209, -517.3359, -336.8025,  -987.5585, -561.9420, -335.8079,  127, 127, 127
L -987.5585, -561.9420, -335.8079,  -964.7701, -622.3561, -336.0371,  127, 127, 127
L -964.7701, -622.3561, -336.0371,  -999.7482, -737.2433, -318.4907,  127, 127, 127
L -999.7482, -737.2433, -318.4907,  -965.6794, -803.4442, -326.1917,  127, 127, 127
L -965.6794, -803.4442, -326.1917,  -851.1863, -734.0745, -372.0880,  127, 127, 127
L -851.1863, -734.0745, -372.0880,  -783.6008, -747.8204, -345.6065,  127, 127, 127
L -156.7639, 1003.6606, -332.4135,  -68.6193, 1003.7188, -330.3506,  127, 127, 127
L -68.6193, 1003.7188, -330.3506,  14.3749, 1005.8461, -332.9175,  127, 127, 127
L 14.3749, 1005.8461, -332.9175,  82.3330, 1013.9115, -338.6679,  127, 127, 127
L 82.3330, 1013.9115, -338.6679,  230.9971, 996.8821, -324.0941,  127, 127, 127
L 230.9971, 996.8821, -324.0941,  320.3974, 981.3503, -330.0336,  127, 127, 127
L 320.3974, 981.3503, -330.0336,  416.2786, 997.6274, -324.0280,  127, 127, 127
L 416.2786, 997.6274, -324.0280,  576.7040, 1034.5818, -329.0753,  127, 127, 127
L 576.7040, 1034.5818, -329.0753,  638.7516, 1016.0870, -332.1147,  127, 127, 127
